2023-07-19,29916
2023-07-18,29861
2023-07-17,30143
2023-07-16,30247
2023-07-15,30301
2023-07-14,30330
2023-07-13,31471
2023-07-12,30381
2023-07-11,30626
2023-07-10,30419
2023-07-09,30168
2023-07-08,30291
2023-07-07,30352
2023-07-06,29899
2023-07-05,30499
2023-07-04,30771
2023-07-03,31161
2023-07-02,30613
2023-07-01,30587
2023-06-30,30466
2023-06-29,30446
2023-06-28,30074
2023-06-27,30697
2023-06-26,30272
2023-06-25,30480
2023-06-24,30547
2023-06-23,30707
2023-06-22,29886
2023-06-21,29995
2023-06-20,28320
2023-06-19,26837
2023-06-18,26336
2023-06-17,26506
2023-06-16,26329
2023-06-15,25569
2023-06-14,25123
2023-06-13,25930
2023-06-12,25905
2023-06-11,25937
2023-06-10,25856
2023-06-09,26482
2023-06-08,26508
2023-06-07,26346
2023-06-06,27243
2023-06-05,25741
2023-06-04,27122
2023-06-03,27077
2023-06-02,27250
2023-06-01,26828
2023-05-31,27223
2023-05-30,27700
2023-05-29,27744
2023-05-28,28070
2023-05-27,26867
2023-05-26,26714
2023-05-25,26479
2023-05-24,26321
2023-05-23,27226
2023-05-22,26896
2023-05-21,26768
2023-05-20,27144
2023-05-19,26948
2023-05-18,26889
2023-05-17,27462
2023-05-16,27088
2023-05-15,27258
2023-05-14,27016
2023-05-13,26907
2023-05-12,26828
2023-05-11,27059
2023-05-10,27598
2023-05-09,27628
2023-05-08,27668
2023-05-07,28430
2023-05-06,28848
2023-05-05,29505
2023-05-04,28838
2023-05-03,29033
2023-05-02,28680
2023-05-01,28085
2023-04-30,29226
2023-04-29,29247
2023-04-28,29334
2023-04-27,29481
2023-04-26,28431
2023-04-25,28304
2023-04-24,27516
2023-04-23,27593
2023-04-22,27817
2023-04-21,27257
2023-04-20,28241
2023-04-19,28820
2023-04-18,30394
2023-04-17,29440
2023-04-16,30315
2023-04-15,30318
2023-04-14,30489
2023-04-13,30408
2023-04-12,29899
2023-04-11,30230
2023-04-10,29655
2023-04-09,28339
2023-04-08,27953
2023-04-07,27923
2023-04-06,28047
2023-04-05,28176
2023-04-04,28172
2023-04-03,27806
2023-04-02,28192
2023-04-01,28464
2023-03-31,28476
2023-03-30,28039
2023-03-29,28353
2023-03-28,27272
2023-03-27,27142
2023-03-26,28004
2023-03-25,27499
2023-03-24,27493
2023-03-23,28295
2023-03-22,27250
2023-03-21,28105
2023-03-20,27717
2023-03-19,27972
2023-03-18,26907
2023-03-17,27395
2023-03-16,24998
2023-03-15,24285
2023-03-14,24670
2023-03-13,24113
2023-03-12,21997
2023-03-11,20455
2023-03-10,20150
2023-03-09,20362
2023-03-08,21705
2023-03-07,22197
2023-03-06,22410
2023-03-05,22430
2023-03-04,22346
2023-03-03,22354
2023-03-02,23465
2023-03-01,23628
2023-02-28,23141
2023-02-27,23492
2023-02-26,23554
2023-02-25,23157
2023-02-24,23215
2023-02-23,23946
2023-02-22,24198
2023-02-21,24470
2023-02-20,24847
2023-02-19,24292
2023-02-18,24643
2023-02-17,24608
2023-02-16,23519
2023-02-15,24305
2023-02-14,22204
2023-02-13,21793
2023-02-12,21792
2023-02-11,21847
2023-02-10,21639
2023-02-09,21812
2023-02-08,22965
2023-02-07,23257
2023-02-06,22777
2023-02-05,22955
2023-02-04,23315
2023-02-03,23424
2023-02-02,23498
2023-02-01,23740
2023-01-31,23137
2023-01-30,22841
2023-01-29,23747
2023-01-28,23033
2023-01-27,23084
2023-01-26,23010
2023-01-25,23062
2023-01-24,22636
2023-01-23,22920
2023-01-22,22714
2023-01-21,22789
2023-01-20,22669
2023-01-19,21084
2023-01-18,20674
2023-01-17,21136
2023-01-16,21187
2023-01-15,20879
2023-01-14,20957
2023-01-13,19934
2023-01-12,18847
2023-01-11,17944
2023-01-10,17443
2023-01-09,17177
2023-01-08,17125
2023-01-07,16942
2023-01-06,16948
2023-01-05,16825
2023-01-04,16844
2023-01-03,16669
2023-01-02,16666
2023-01-01,16611
