id,address,balance,received,meta,firstInput,lastOutput
56,1AAe9AdkKcffFyrF7zPQYS3XDcRws8c3qk,6000.0,7100.0,,2010-05-23,2010-05-26
57,1AUZ4zJo9fsopu1hVJEnPMLcqt6NqTKq61,6000.0,6000.0,,2010-08-22,
58,13ZgyP681hJ1e77pfeq6MqJpBoghtoMSiW,5900.0,5900.0,,2010-09-21,
59,15J5MZxBkbo88hfHbY96UEDdWWtTJKTBgj,5900.0,7800.0,,2009-12-09,2009-12-12
60,1AJzbBeZrLuGEnDVrgNCV76RbtSGF3w8cB,5850.0,5850.0,,2010-07-25,
61,1GRMSNSTxHgaamsjE4aqVZGbTpp1MbzUi,5277.72,5277.72,,2010-09-02,
62,19g4fxfWwm8Fyj7qfVvm5mHuo8vDcAbHcw,5100.0,5100.0,,2010-02-16,
63,1LyqQGiuP5QhnyWXa19VwtiTHH2DgWZDaU,5100.0,5100.0,,2010-07-15,
64,12zSXD2Ws5Y3yeq8vMQdPBuLpK4mf5EwT8,5099.24,5099.24,,2010-09-06,
65,14R3uL2YaS2QZtf7WzPZJfiebkZzxbpXyY,5000.0,22643.0,,2010-08-05,2010-09-16
66,155Yv6Hmzs5RT8j6uZAzfWzecvV9FDyu6k,5000.0,5001.0,,2010-07-25,2010-07-26
67,15jjiMTNt8JKLpRzypV1N2MdDaVa4b9ktT,5000.0,5000.0,,2010-08-20,
68,16ptRFkCREiaRun2Ckm6Nvt3Zp8yeXq89u,5000.0,5000.0,,2010-07-23,
69,1EtRQi6LWKBYhhqZ4uZYnAMMw6jigFrS1t,4999.0,10010.0,,2010-09-09,2010-09-24
70,19a14GZW22rqri82pcCD84BmPQP2BC7Dh9,4801.0,4801.0,,2010-08-05,
71,1CazSk3Xf9Dx6rdoPPX6WDCZi9nrP3TdL7,4450.0,52563.88,,2010-06-19,2010-09-25
72,1HSbBi1K4aVRfvge6XKrQpNcUA9Wp96RHJ,4250.0,4250.0,,2010-04-09,
73,15QYFjTv9zKUKiDZ58T2exDBTKYzKznodL,4170.0,4270.02,,2010-02-19,2010-04-20
74,14FNmLajkfDqEaUZQbFqiqAEWT6emFtHez,4150.0,10032.04,,2010-05-04,2010-05-20
75,1JB9ZsyK8pUTAKLPmavqLkxi4w7VQoYT4V,4100.05,4100.05,,2010-08-29,
76,17pDQyhpcxuX3mfLEx23VA6a668EPddnfo,4000.0,4000.0,,2010-09-10,
77,17SPJ7SpYpGC8x9BBxu9wHoWuapVKytMnM,4000.0,26126.09,,2010-05-13,2010-09-25
78,1ALXLVNj7yKRU2Yki3K3yQGB5TBPof7jyo,4000.0,4000.0,,2010-07-25,
79,1EwKscAdmgXFQB17W22jzKnDfr7xr4c9B8,4000.0,4000.0,,2010-07-14,
80,1LeZzjEsJMoKXcn5vJDZDhUQPyFBbgzfPd,4000.0,4000.0,,2010-07-22,
81,19i5yNUoB1fqUaT8iHnzHvQcQdVs5rBT5G,3915.94,3915.94,,2010-09-07,
82,16KN24LGwXmXxx79rhnm98Mm6RMjfPJ1TW,3900.0,3900.0,,2010-09-13,
83,16CxdHGToGZkbcra4PLP9eY3XSVT1vUdjV,3750.02,3755.02,,2010-06-30,2010-07-13
84,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,3555.0,11216.01,,2010-04-12,2010-07-20
85,1J3dq1i4NjKX34oiLv7qeu6n118A4cg9Ni,3423.73,3423.73,,2010-09-09,
86,1Acw9oPDPn9pGuhTm3qieH5RotioXwosFU,3291.02,3291.02,,2010-09-23,
